,Weighted_Median_stmp,Weighted_Median_okcn,Weighted_Median_lmax,Weighted_Median_krkn,Weighted_Median_itbi,Weighted_Median_gmni,Weighted_Median_cbse,Weighted_Median_btrx,Weighted_Median_bnus,Weighted_Median_bfnx,Weighted_Median_bfly
2021-02-24 00:00:00,47793.14,48000.0,47729.0,47656.7,47683.0,47772.26,47780.38,47749.539,47711.0,47627.0,48128.38
2021-02-24 01:00:00,49015.13,49664.52,49192.0,49073.7,49700.0,49554.52,49272.15,49273.6,49120.79,49562.0,49818.51
2021-02-24 02:00:00,50314.35,50258.32,50280.0,50204.5,50269.25,50293.38,50277.77,50299.997,50229.83,50256.0,50200.0
2021-02-24 03:00:00,50418.26,50380.46,50382.5,50450.0,50430.0,50481.51,50423.48,50488.858,50450.0,50674.0,50948.0
2021-02-24 04:00:00,51000.0,51112.25,50838.0,50938.6,51012.0,50983.79,50980.71,50908.38,50933.47,50906.0,51014.38
2021-02-24 05:00:00,50392.27,50373.25,50360.5,50360.5,50356.25,50427.81,50442.72,50500.0,50327.22,50291.0,
2021-02-24 06:00:00,49898.33,49897.29,50024.5,49828.9,49780.0,49861.9,49900.0,49964.331,50000.0,49631.04602218,50018.9
2021-02-24 07:00:00,50000.0,50079.32,50040.5,50025.0,49934.25,50066.06,49960.0,50039.763,49871.79,49913.0,49680.1
2021-02-24 08:00:00,50639.44,50546.01,50632.5,50638.3,50642.5,50507.78,50608.58,50691.895,50626.89,50659.0,49890.34
2021-02-24 09:00:00,50906.57,50950.76,50914.5,50971.1,51134.5,50905.0,50902.0,50962.021,50868.85,50853.46038288,50900.0
2021-02-24 10:00:00,50569.14,50581.13,50506.5,50599.9,50589.25,50501.05,50505.15,50628.879,50493.82,50449.656508,50544.26
2021-02-24 11:00:00,50432.15,50522.39,50453.0,50489.5,50430.0,50415.25,50455.8,50552.92,50466.07,50488.0,50500.0
2021-02-24 12:00:00,50981.07,50993.66,50934.5,50870.0,51028.0,50980.48,50962.74,50951.232,50847.85,50975.0,51229.87
2021-02-24 13:00:00,49708.31,49763.6,49702.5,49699.0,49752.5,49710.62,49719.99,49700.675,49664.61,49656.0,49699.0
2021-02-24 14:00:00,49186.14,49407.45,49232.25,49235.7,49245.25,49317.64,49302.59,49280.0,49238.06,49250.0,49280.97
2021-02-24 15:00:00,49286.75,49460.17,49470.0,49225.0,48955.0,49389.86,49300.0,49324.826,49455.0,49016.0,48661.0
2021-02-24 16:00:00,49750.0,49820.46,49750.0,49731.4,49735.5,49717.96,49750.0,49773.48,49756.41,49735.0,49584.9
2021-02-24 17:00:00,49864.68,49814.92,49848.5,49869.4,49819.0,49856.74,49848.28,49800.0,49827.22,49826.0,49704.36
2021-02-24 18:00:00,49854.0,49748.74,49794.3,49810.6,49784.25,49799.75,49786.68,49796.631,49806.9,49784.0,49600.0
2021-02-24 19:00:00,49423.76,49433.99,49418.0,49134.2,49491.0,49131.51,49213.35,49162.2,49449.71,49127.0,48997.6
2021-02-24 20:00:00,48911.7,48800.0,48951.0,49009.4,48858.0,48940.25,48914.35,48913.301,48859.27,48898.31686272,48929.05
2021-02-24 21:00:00,48431.84,48421.78,48433.0,48433.6,48473.0,48449.13,48410.0,48432.061,48466.87,48400.0,48413.49
2021-02-24 22:00:00,48635.04,48558.78,48697.5,48505.5,48442.75,48689.23,48596.48,48586.539,48596.46,48645.0,48252.47
2021-02-24 23:00:00,49549.69,49665.86,49396.0,49448.3,49580.0,49439.37,49433.0,49501.189,49450.0,49412.0,49603.44
